intent_id,question_variations,answer,tags
contact_therapist,How do I contact a therapist?|Can I speak to a counselor?|Therapist contact,"You can find licensed therapists through our 'Find Help' section, or contact your local mental health center. Would you like some guidance on choosing a therapist?",professional_support
sleep_problems,I can't sleep|Sleep issues|Trouble sleeping,"Poor sleep can affect your mood and health. Try sticking to a routine, limiting screens before bed, and relaxing activities like meditation. Need help with a sleep tracker?","sleep,wellbeing"
meditation_intro,What is meditation?|How to meditate?|Meditation guide,Meditation is a practice of focused attention and awareness. It can help reduce stress and improve mental clarity. Would you like a short guided session?,"mindfulness,exercise"
loneliness,I'm feeling lonely|I have no one|Dealing with loneliness,"Feeling lonely can be tough. Reaching out to friends, joining a group or online community, or engaging in hobbies you enjoy can help. Want to talk more about it?","emotion_support,loneliness"
panic_attack,What is a panic attack?|Am I having a panic attack?|Panic attack help,"A panic attack involves sudden intense fear with symptoms like rapid heartbeat, shortness of breath, or dizziness. It’s not dangerous but can feel overwhelming. Try grounding techniques or breathing exercises.","panic,crisis"
mindfulness_practice,What is mindfulness?|Mindfulness tips|Mindfulness benefits,Mindfulness is paying full attention to the present moment. It helps reduce stress and improve focus. Want to try a simple exercise?,"mindfulness,skill"
exercise_mental_health,Does exercise help mental health?|Workout for anxiety|Exercise benefits,"Yes, regular physical activity can boost your mood, reduce stress and anxiety, and improve sleep. Even a walk can make a difference!","lifestyle,exercise"
gratitude_practice,How can gratitude help me?|Gratitude practice|Feeling grateful,"Practicing gratitude can shift your focus to positive things, improving your mental well-being. Want to try a quick gratitude journaling prompt?","emotion_support,gratitude"
is_it_normal,Is it normal to feel this way?|Am I the only one?|Do others feel like this too?,You're not alone. Many people experience similar thoughts and feelings. It's okay to talk about it and seek support when needed.,"emotion_support,normalization"
nutrition_mental_health,"Does food affect mood?|Mental health and nutrition|Eat better, feel better","Yes, eating a balanced diet supports brain function and emotional well-being. Would you like tips on mood-boosting foods?","nutrition,lifestyle"
improve_focus,I can't focus|Easily distracted|How to stay focused,"Improving focus can involve reducing distractions, setting goals, and taking breaks. Mindfulness and exercise can also help.","focus,productivity"
support_friend,How can I support a friend with mental health issues?|Help my friend|Worried about someone,Supporting a friend starts with listening without judgment. Encourage them to talk and offer help finding resources. Want to learn what to say?,"support,relationships"
affirmations,Can you give me affirmations?|Positive self-talk|I need motivation,"Sure! Here's one: 'I am doing my best, and that is enough.' Want more affirmations?","motivation,self_help"
burnout,I feel burnt out|Work is too much|Exhausted and tired,"Burnout can happen when you're overwhelmed for too long. Try taking breaks, setting boundaries, and talking about your workload. Would you like to explore self-care tips?","burnout,stress"
